                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 0.8572,                0.43141,                0.84298,                0.70208,                0.68801,                0.65262,                0.36213,                  1.322,                  1.309,                 1.0402,              0.0056836,              0.0056836,              0.0056836
                    111,                0.85151,                0.43021,                0.84408,                0.70473,                0.65872,                0.63611,                0.36184,                 1.3273,                 1.3024,                 1.0399,               0.005644,               0.005644,               0.005644
                    112,                0.85353,                0.42761,                0.84349,                0.67857,                0.68316,                0.64903,                0.36184,                 1.3207,                 1.3163,                 1.0419,              0.0056044,              0.0056044,              0.0056044
                    113,                0.83837,                0.42636,                0.84164,                0.70817,                0.66809,                0.65163,                0.36339,                 1.3223,                 1.2953,                  1.039,              0.0055648,              0.0055648,              0.0055648
                    114,                0.84175,                0.42484,                0.83959,                0.71035,                0.68153,                0.64684,                0.36807,                 1.3131,                 1.2701,                 1.0376,              0.0055252,              0.0055252,              0.0055252
                    115,                0.84001,                0.42385,                0.84144,                0.69706,                0.67662,                0.63561,                0.36707,                 1.3162,                 1.3145,                 1.0394,              0.0054856,              0.0054856,              0.0054856
                    116,                0.84089,                0.42513,                0.84079,                0.67919,                0.69978,                0.65153,                0.36691,                 1.3212,                 1.2317,                 1.0406,               0.005446,               0.005446,               0.005446
                    117,                0.83933,                0.42248,                0.84109,                0.71238,                0.67265,                0.64369,                 0.3644,                 1.3137,                 1.2967,                 1.0431,              0.0054064,              0.0054064,              0.0054064
                    118,                 0.8322,                0.41992,                   0.84,                0.67815,                0.66656,                0.62917,                0.36435,                  1.319,                 1.2567,                 1.0392,              0.0053668,              0.0053668,              0.0053668
                    119,                0.83361,                 0.4221,                0.83711,                0.72179,                0.68367,                0.65714,                0.36786,                 1.3155,                 1.2589,                 1.0385,              0.0053272,              0.0053272,              0.0053272
